ФИО,E-Mail,Учреждение образования
Любовь Алексеевна Красильникова,alla.ignatov@ignatev.ru,Белорусский государственный университет информатики и радиоэлектроники
Эльвира Сергеевна Дьячкова,ugurev@hotmail.com,Белорусский государственный университет
Ярослав Андреевич Юдин,eva70@makarova.com,Гродненский государственный университет имени Янки Купалы
Екатерина Владимировна Никитина,saveleva.feliks@bk.ru,Гродненский государственный медицинский университет
Алёна Фёдоровна Потапова,mihail.belozerov@mail.ru,Гродненский государственный медицинский университет
Даниил Борисович Костин,nonna.sazonov@list.ru,Белорусский национальный технический университет
Мясникова Рената Фёдоровна,erik50@narod.ru,Белорусский национальный технический университет
Инга Львовна Калинина,knazev.maksim@nekrasova.ru,Гродненский государственный медицинский университет
Ларионов Феликс Андреевич,stepan.birukova@list.ru,Гродненский государственный университет имени Янки Купалы
Максим Борисович Шарапов,asmirnova@gmail.com,Белорусский государственный университет информатики и радиоэлектроники
Арсений Максимович Назаров,nestor37@narod.ru,Белорусский государственный университет информатики и радиоэлектроники
Моисеева Таисия Максимовна,neliseeva@maslov.ru,Белорусский государственный университет информатики и радиоэлектроники
Анна Сергеевна Александрова,alena.gulaeva@ivanova.com,Гродненский государственный аграрный университет
Ольга Евгеньевна Бирюкова,popov.regina@yandex.ru,Белорусский государственный университет информатики и радиоэлектроники
Сазонов Виктор Евгеньевич,egor.burova@bk.ru,Белорусский национальный технический университет
Маргарита Андреевна Дроздова,msimonov@mihajlov.ru,Гродненский государственный аграрный университет
Журавлёв Фёдор Львович,cdackov@gmail.com,Белорусский национальный технический университет
Гаврилова Лариса Борисовна,nikodim.matveeva@knazev.org,Гродненский государственный университет имени Янки Купалы
Максим Дмитриевич Михайлов,birukova.eva@artemev.ru,Белорусский государственный университет
Селезнёв Виталий Сергеевич,taras09@udin.org,Гродненский государственный медицинский университет
Кулакова Кристина Ивановна,lebedeva.zlata@ya.ru,Гродненский государственный университет имени Янки Купалы
Денисов Артём Александрович,vartemeva@narod.ru,Гродненский государственный университет имени Янки Купалы
Рыбакова Эмилия Фёдоровна,emma.gavrilova@hotmail.com,Гродненский государственный аграрный университет
Эдуард Иванович Гуляев,bmuhina@rambler.ru,Белорусский государственный университет информатики и радиоэлектроники
Лариса Фёдоровна Быкова,oaleksandrova@belaev.com,Белорусский государственный университет информатики и радиоэлектроники
Филатов Александр Иванович,garri42@ya.ru,Белорусский государственный университет
Инесса Евгеньевна Лукина,bseliverstov@bk.ru,Белорусский национальный технический университет
Аполлон Сергеевич Ермаков,aleksandra75@bk.ru,Белорусский государственный университет
Милан Романович Степанов,grigorij65@gureva.ru,Белорусский национальный технический университет
Селиверстова Василиса Ивановна,anisimova.iraklij@evseeva.ru,Гродненский государственный аграрный университет
Шаров Валентин Романович,xbelaeva@ya.ru,Гродненский государственный медицинский университет
Назар Сергеевич Самойлов,klavdia02@list.ru,Гродненский государственный университет имени Янки Купалы
Розалина Львовна Кондратьева,raisa32@gusin.ru,Гродненский государственный университет имени Янки Купалы
Дарья Романовна Субботина,nonna36@polakov.ru,Гродненский государственный университет имени Янки Купалы
Марта Борисовна Дьячкова,lavrentij82@aksenov.net,Гродненский государственный аграрный университет
Мамонтова Варвара Александровна,emma01@hotmail.com,Гродненский государственный университет имени Янки Купалы
Кристина Романовна Сидорова,anisimov.zahar@gmail.com,Гродненский государственный аграрный университет
Георгий Львович Тимофеев,kazakov.valentin@inbox.ru,Белорусский государственный университет
Князева Нина Александровна,bobyleva.larisa@subin.org,Белорусский национальный технический университет
Яков Андреевич Мельников,sokolov.aleksandra@vlasova.net,Белорусский национальный технический университет
Архипов Платон Максимович,nina.kondratev@ya.ru,Белорусский национальный технический университет
Кулаков Всеволод Александрович,regina.muraveva@inbox.ru,Гродненский государственный медицинский университет
Екатерина Ивановна Красильникова,golubev.radislav@mironova.org,Гродненский государственный медицинский университет
Киселёв Давид Романович,platon30@gulaev.net,Гродненский государственный аграрный университет
Лихачёв Валентин Иванович,wdmitriev@mail.ru,Гродненский государственный медицинский университет
Стефан Романович Мухин,david78@rambler.ru,Белорусский государственный университет информатики и радиоэлектроники
Мишина Регина Фёдоровна,vinogradov.iraklij@muravev.com,Белорусский государственный университет
Николаева Людмила Андреевна,igor56@pavlov.ru,Гродненский государственный университет имени Янки Купалы
Коновалова Дина Ивановна,zahar72@sorokin.ru,Белорусский национальный технический университет
Ольга Фёдоровна Михайлова,german.bobylev@lytkina.net,Гродненский государственный медицинский университет
Альбина Евгеньевна Афанасьева,cturov@stepanova.ru,Белорусский государственный университет информатики и радиоэлектроники
Журавлёва Ксения Владимировна,vera73@rambler.ru,Гродненский государственный аграрный университет
Спартак Андреевич Сафонов,cdorofeeva@narod.ru,Белорусский национальный технический университет
Иммануил Алексеевич Лихачёв,krasilnikov.ludmila@yandex.ru,Гродненский государственный медицинский университет
Кузьма Евгеньевич Зуев,zanna16@list.ru,Белорусский национальный технический университет
Юлия Андреевна Игнатова,nikita.emelanova@bk.ru,Белорусский государственный университет информатики и радиоэлектроники
Антонов Леонид Максимович,leonid.nekrasova@misin.ru,Гродненский государственный медицинский университет
Гурьева Кристина Максимовна,makar.pavlov@bobylev.ru,Гродненский государственный аграрный университет
Морозов Гавриил Романович,artem57@narod.ru,Белорусский государственный университет информатики и радиоэлектроники
Никита Алексеевич Меркушев,izabella.evseeva@list.ru,Белорусский национальный технический университет
Эдуард Романович Жданов,krylov.vsevolod@birukov.org,Белорусский государственный университет информатики и радиоэлектроники
Валерий Евгеньевич Шарапов,marta63@medvedev.ru,Белорусский национальный технический университет
Марат Львович Артемьев,burov.marat@krylova.ru,Белорусский национальный технический университет
Адам Александрович Гусев,olebedev@hotmail.com,Белорусский государственный университет
Зуев Назар Борисович,maja.lihacev@ya.ru,Гродненский государственный аграрный университет
Платон Владимирович Гаврилов,sukin.savva@inbox.ru,Гродненский государственный медицинский университет
Игнатий Андреевич Вишняков,robert39@lytkina.ru,Гродненский государственный медицинский университет
Лыткина Лилия Максимовна,rostislav89@yandex.ru,Гродненский государственный медицинский университет
Ева Максимовна Дмитриева,galina.kozlov@hotmail.com,Белорусский государственный университет
Рыбакова Анфиса Романовна,valerian83@mail.ru,Белорусский государственный университет
Виноградов Константин Львович,hegorova@list.ru,Гродненский государственный аграрный университет
Овчинников Евгений Александрович,iraklij94@ustinova.org,Белорусский государственный университет
Мальвина Максимовна Виноградова,olesa07@bk.ru,Гродненский государственный медицинский университет
Владлен Алексеевич Зайцев,izolda70@rambler.ru,Белорусский национальный технический университет
